name_product,inventory,cost,supplier_id
Whole Wheat Pita Bread,176,$272.35,3
Ice Cream,184,$293.61,14
Camping Tarp,128,$407.97,24
Vegan Mayonnaise,87,$72.59,9
Berries Medley,143,$208.52,24
Eco-Friendly Cleaning Cloths,98,$121.69,24
Avocado Oil,89,$125.66,41
Kids' Trampoline,21,$128.47,23
Vegan Tacos,139,$185.34,16
Frozen Broccoli,216,$364.17,49
Weighted Blanket for Adults,106,$414.78,2
Cajun Seasoning,182,$286.36,33
Sweet BBQ Dipping Sauce,119,$286.77,5
Puzzle Game Set,213,$334.21,34
Lentils,231,$113.90,45
Chocolate Peanut Butter Cups,96,$441.58,10
Quality Chef Apron,64,$149.61,24
Acoustic Guitar,215,$425.13,32
Sushi Roll Kit,180,$416.36,1
Pet Grooming Scissors,242,$292.64,20
Leather Wallet,26,$265.74,1
Sooji (Semolina),128,$281.24,41
Fettuccine Alfredo Dinner Kit,88,$352.24,20
Maple Bacon Potato Chips,40,$444.69,7
Magnetic Spice Jars,62,$119.27,20
Grilled Veggie Burgers,196,$171.70,2
Crispy Onion Rings,47,$95.28,40
Organic Brown Rice Cakes,29,$193.80,47
Travel Shoe Bags Set,12,$206.94,31
Silicone Ice Cube Tray,173,$55.64,13
Fitness Resistance Bands Kit,132,$146.15,11
Non-Toxic Concrete Sealer,225,$191.36,41
Electric Food Steamer,46,$167.73,23
Safety First Aid Kit,52,$319.56,17
Car Seat Organizer,236,$263.06,6
Marinara Parmesan Baked Ziti,47,$286.77,20
Mesh Sports Leggings,176,$250.70,27
Ice Cream Scoop,134,$421.21,42
Ricotta Cheese,235,$222.08,11
Balsamic Vinaigrette,33,$242.50,6
White Rice,192,$97.78,16
Ramen Noodles,70,$286.94,30
Sweet Potato Mash,26,$419.80,27
Plaid Flannel Shirt,97,$425.35,15
Insulated Wine Tote,142,$53.66,16
Scented Candle Set,243,$127.73,22
Organic Blueberries,150,$93.20,46
Beef Tacos,152,$362.39,17
Soft Plush Throw Blanket,228,$69.94,46
Chic Jumpsuit,28,$93.88,25
Microwave Popcorn Maker,37,$185.50,36
Comfy Slippers,250,$63.39,30
Smart Wi-Fi Camera,80,$231.39,30
Popcorn Chicken,171,$414.71,47
Spinach Feta Wraps,213,$285.03,39
Chocolate Mint Thins,135,$111.96,3
Rain Jacket,42,$401.27,25
Glass Food Containers,41,$249.48,1
Plant Growing Kit,185,$306.64,33
Almond Coconut Granola,245,$172.39,19
Coconut Cream Pie Mix,159,$358.99,39
Ergonomic Mouse Pad with Wrist Support,148,$224.71,47
Greek Yogurt Parfait,186,$122.66,35
Spinach and Feta Wraps,39,$342.87,7
Mango Chilli Sauce,73,$445.50,42
Sriracha Hot Chili Sauce,226,$440.89,38
Natural Peanut Butter,225,$341.87,16
Fridge Magnet Set,100,$102.34,9
LED Desk Lamp,37,$366.87,2
Reusable Produce Bags Set,147,$58.70,7
Classic Cheeseburger Mix,36,$356.49,16
Spaghetti Sauce,104,$431.87,2
Travel Shoe Bags Set,249,$165.95,14
Set of Gardening Gloves with Claws,177,$124.84,25
Foldable Yoga Mat,129,$154.18,30
Brown Rice,172,$96.24,19
Soft Plush Throw Blanket,152,$195.61,8
Pecan Nuts,70,$78.11,20
Digital Alarm Clock,20,$375.32,36
Low-Fat Yogurt,155,$240.15,24
Air Fryer Oven,130,$75.82,11
Travel Laundry Bag,83,$251.52,41
Screen Cleaning Kit,172,$141.38,36
Almond Butter Granola Bars,52,$434.51,28
Apple Cinnamon Granola,136,$385.93,32
Chipotle Black Bean Burger,144,$140.65,11
Cranberry Almond Granola,178,$270.61,37
